"dhs_indicator_code","variable","ADM2_EN","naive","naive_var","dir","dir_var","n_obs","degf"
"RH_ANCN_W_N4P","rh_anc_4vs","Noakhali",0.295918367346939,0.210498632442668,0.301340846905747,0.00734644309234792,8,7
"RH_ANCN_W_N4P","rh_anc_4vs","Pabna",0.791666666666667,0.167253521126761,0.790340854420551,0.00210776035894556,10,9
"RH_ANCN_W_N4P","rh_anc_4vs","Panchagarh",0.529411764705882,0.25668449197861,0.495310292569479,0.00767262197319467,5,4
"RH_ANCN_W_N4P","rh_anc_4vs","Patuakhali",0.179487179487179,0.149184149184149,0.168824750779884,0.000830292852872466,10,9
"RH_ANCN_W_N4P","rh_anc_4vs","Pirojpur",0.315789473684211,0.219924812030075,0.287482401171154,0.00485032623825209,9,8
"RH_ANCN_W_N4P","rh_anc_4vs","Rajbari",0.4375,0.2625,0.440948810772209,0.0074614948860722,4,3
"RH_ANCN_W_N4P","rh_anc_4vs","Rajshahi",0.535087719298246,0.250970346219531,0.41556298414104,0.00405290233338194,20,19
"RH_ANCN_W_N4P","rh_anc_4vs","Rangamati",0.264705882352941,0.200534759358289,0.227042410742256,0.00126968492441927,5,4
"RH_ANCN_W_N4P","rh_anc_4vs","Rangpur",0.487179487179487,0.251989389920424,0.461806214731191,0.00247546468341182,20,19
"RH_ANCN_W_N4P","rh_anc_4vs","Satkhira",0.513888888888889,0.253325508607199,0.50366354336704,0.00354768955075247,10,9
"RH_ANCN_W_N4P","rh_anc_4vs","Shariatpur",0.36,0.24,0.377821867493722,0.0037125766542117,3,2
"RH_ANCN_W_N4P","rh_anc_4vs","Sherpur",0.676923076923077,0.222115384615385,0.656700308993059,0.00471235826265388,9,8
"RH_ANCN_W_N4P","rh_anc_4vs","Sirajganj",0.275,0.201898734177215,0.283090814698449,0.00611417717734167,14,13
"RH_ANCN_W_N4P","rh_anc_4vs","Sunamganj",0.210084033613445,0.16735507762427,0.200733355063273,0.00279150231028313,15,14
"RH_ANCN_W_N4P","rh_anc_4vs","Sylhet",0.372294372294372,0.234707321663843,0.324988078306207,0.00187073925126279,28,27
"RH_ANCN_W_N4P","rh_anc_4vs","Tangail",0.518518518518518,0.254367575122292,0.550136977490813,0.010273055080852,9,8
"RH_ANCN_W_N4P","rh_anc_4vs","Thakurgaon",0.285714285714286,0.209059233449477,0.243854780198298,0.0100963096646551,6,5
NA,"rh_anc_1tri","Bagerhat",0.357142857142857,0.235191637630662,0.352693662285479,0.00516780796954605,8,7
NA,"rh_anc_1tri","Bandarban",0.3,0.233333333333333,0.317548739230357,0.0137846825111317,2,1
NA,"rh_anc_1tri","Barguna",0.268292682926829,0.201219512195122,0.282421919005458,0.00279080438490751,7,6
NA,"rh_anc_1tri","Barisal",0.44973544973545,0.248789823257908,0.367176473091942,0.00155018930872378,26,25
NA,"rh_anc_1tri","Bhola",0.316901408450704,0.218010188792328,0.277664099934118,0.00135852695902368,13,12
NA,"rh_anc_1tri","Bogra",0.409638554216867,0.244784014105201,0.387139534479582,0.00504239923738703,16,15
NA,"rh_anc_1tri","Brahamanbaria",0.227272727272727,0.178321678321678,0.232673791407137,0.00294328775114041,7,6
NA,"rh_anc_1tri","Chandpur",0.364864864864865,0.234912995186968,0.360308711684557,0.00209000399136354,8,7
NA,"rh_anc_1tri","Chittagong",0.486792452830189,0.250771869639794,0.472346082945654,0.00171061294372312,30,29
NA,"rh_anc_1tri","Chuadanga",0.466666666666667,0.257471264367816,0.418927680684049,0.0228973238578457,6,5
NA,"rh_anc_1tri","Comilla",0.3046875,0.213521161417323,0.295575663163265,0.00310570693437647,15,14
NA,"rh_anc_1tri","Cox's Bazar",0.333333333333333,0.225806451612903,0.328247941467744,0.00269069343471588,5,4
NA,"rh_anc_1tri","Dhaka",0.555944055944056,0.247736474052264,0.551679640017251,0.00156299361064774,42,41
NA,"rh_anc_1tri","Dinajpur",0.293478260869565,0.209627329192547,0.265332915573638,0.00141087875821245,16,15
NA,"rh_anc_1tri","Faridpur",0.269230769230769,0.204615384615385,0.272937402815632,0.00811833778889304,4,3
NA,"rh_anc_1tri","Feni",0.388888888888889,0.242138364779874,0.408708395481332,0.00124443408347928,5,4
NA,"rh_anc_1tri","Gaibandha",0.233009708737864,0.180468303826385,0.225448952484347,0.00150296727555193,12,11
NA,"rh_anc_1tri","Gazipur",0.45,0.250632911392405,0.45695779982003,0.0021923681240335,10,9
NA,"rh_anc_1tri","Gopalganj",0.35,0.239473684210526,0.372327574221889,0.00404950259648213,3,2
NA,"rh_anc_1tri","Habiganj",0.39344262295082,0.240617802465791,0.367571758897477,0.00206985721368421,15,14
NA,"rh_anc_1tri","Jamalpur",0.368852459016393,0.234724292101341,0.359164311912515,0.00512869933649422,16,15
NA,"rh_anc_1tri","Jessore",0.461538461538462,0.251282051282051,0.440730694512588,0.0028696129171898,13,12
NA,"rh_anc_1tri","Jhalokati",0.488372093023256,0.255813953488372,0.455822455826667,0.00837829894550361,6,5
NA,"rh_anc_1tri","Jhenaidah",0.413333333333333,0.245765765765766,0.396443129702992,0.00435752365368447,10,9
NA,"rh_anc_1tri","Joypurhat",0.277777777777778,0.212418300653595,0.242474899598394,0.0117846036211051,4,3
NA,"rh_anc_1tri","Khagrachhari",0.272727272727273,0.207792207792208,0.215780744570671,0.0107893921073638,3,2
NA,"rh_anc_1tri","Khulna",0.455357142857143,0.250241312741313,0.42030691689467,0.00455076117461692,18,17
NA,"rh_anc_1tri","Kishoreganj",0.333333333333333,0.225641025641026,0.346480120250284,0.0048181614852425,7,6
NA,"rh_anc_1tri","Kurigram",0.255555555555556,0.192384519350811,0.205676859028854,0.00176533959410133,12,11
NA,"rh_anc_1tri","Kushtia",0.436619718309859,0.249496981891348,0.424605802632453,0.00198123866347496,10,9
NA,"rh_anc_1tri","Lakshmipur",0.366666666666667,0.236158192090395,0.367346564003747,0.00438064907055342,6,5
NA,"rh_anc_1tri","Lalmonirhat",0.236842105263158,0.185633001422475,0.229814746945448,0.00876088429556117,5,4
NA,"rh_anc_1tri","Madaripur",0.62962962962963,0.242165242165242,0.637392184116855,0.00901744391394643,3,2
NA,"rh_anc_1tri","Magura",0.289473684210526,0.211237553342816,0.263525231498483,0.00939430596833996,5,4
NA,"rh_anc_1tri","Manikganj",0.52,0.26,0.523046325182837,0.0199532378350635,4,3
NA,"rh_anc_1tri","Maulvibazar",0.421052631578947,0.245924545877969,0.409379305584126,0.00262388976411229,12,11
